"Earnings Per Share, Basic",Ticker,Fiscal Year,Fiscal Period
0.68768,AAPL,2018,Q2
0.58985,AAPL,2018,Q3
0.73543,AAPL,2018,Q4
1.05394,AAPL,2019,Q1
0.61836,AAPL,2019,Q2
0.54938,AAPL,2019,Q3
0.76189,AAPL,2019,Q4
1.25911,AAPL,2020,Q1
0.645,AAPL,2020,Q2
0.65234,AAPL,2020,Q3
0.74295,AAPL,2020,Q4
1.69795,AAPL,2021,Q1
1.41045,AAPL,2021,Q2
1.29088,AAPL,2021,Q3
1.25374,AAPL,2021,Q4
2.11265,AAPL,2022,Q1
1.52577,AAPL,2022,Q2
1.20287,AAPL,2022,Q3
1.27781,AAPL,2022,Q4
-0.01416,AAT,2016,Q4
0.22324,AAT,2017,Q1
0.16189,AAT,2017,Q2
0.26664,AAT,2017,Q3
-0.02822,AAT,2017,Q4
-0.01472,AAT,2018,Q1
0.09401,AAT,2018,Q2
0.3039,AAT,2018,Q3
0.19607,AAT,2018,Q4
0.32429,AAT,2019,Q1
0.17778,AAT,2019,Q2
0.21595,AAT,2019,Q3
0.14562,AAT,2019,Q4
0.25926,AAT,2020,Q1
0.16452,AAT,2020,Q2
0.10848,AAT,2020,Q3
0.06318,AAT,2020,Q4
0.02889,AAT,2021,Q1
0.1915,AAT,2021,Q2
0.21496,AAT,2021,Q3
0.17463,AAT,2021,Q4
0.22522,AAT,2022,Q1
0.22631,AAT,2022,Q2
0.27262,AAT,2022,Q3
1.13627,AAWW,2016,Q4
-0.02989,AAWW,2017,Q1
1.54175,AAWW,2017,Q2
-0.9565,AAWW,2017,Q3
8.28414,AAWW,2017,Q4
0.37789,AAWW,2018,Q1
-0.8273,AAWW,2018,Q2
2.78127,AAWW,2018,Q3
8.24375,AAWW,2018,Q4
-1.15446,AAWW,2019,Q1
3.36007,AAWW,2019,Q2
2.31972,AAWW,2019,Q3
-15.85794,AAWW,2019,Q4
0.89937,AAWW,2020,Q1
3.01998,AAWW,2020,Q2
2.83352,AAWW,2020,Q3
6.71388,AAWW,2020,Q4
3.15654,AAWW,2021,Q1
3.75943,AAWW,2021,Q2
4.11863,AAWW,2021,Q3
6.08962,AAWW,2021,Q4
2.80039,AAWW,2022,Q1
3.12495,AAWW,2022,Q2
2.12173,AAWW,2022,Q3
0.30369,ABAX,2016,Q3
0.33502,ABAX,2016,Q4
0.27989,ABAX,2017,Q1
0.29105,ABAX,2017,Q2
0.18622,ABAX,2017,Q3
0.44143,ABAX,2017,Q4
0.86077,ABBV,2016,Q4
1.07138,ABBV,2017,Q1
1.20063,ABBV,2017,Q2
1.02129,ABBV,2017,Q3
0.0326,ABBV,2017,Q4
1.74921,ABBV,2018,Q1
1.26467,ABBV,2018,Q2
1.818,ABBV,2018,Q3
-1.22222,ABBV,2018,Q4
1.65946,ABBV,2019,Q1
0.50068,ABBV,2019,Q2
1.27297,ABBV,2019,Q3
1.88747,ABBV,2019,Q4
2.03241,ABBV,2020,Q1
-0.44809,ABBV,2020,Q2
1.30322,ABBV,2020,Q3
0.02035,ABBV,2020,Q4
2.00848,ABBV,2021,Q1
0.43301,ABBV,2021,Q2
1.79706,ABBV,2021,Q3
2.29184,ABBV,2021,Q4
2.53911,ABBV,2022,Q1
0.52252,ABBV,2022,Q2
2.23317,ABBV,2022,Q3
1.13073,ABC,2017,Q1
1.89053,ABC,2017,Q2
0.23026,ABC,2017,Q3
-1.57696,ABC,2017,Q4
3.94761,ABC,2018,Q1
1.31138,ABC,2018,Q2
1.26189,ABC,2018,Q3
1.08307,ABC,2018,Q4
1.85638,ABC,2019,Q1
0.12863,ABC,2019,Q2
1.46977,ABC,2019,Q3
0.62495,ABC,2019,Q4
0.91084,ABC,2020,Q1
4.67566,ABC,2020,Q2
1.42115,ABC,2020,Q3
-23.74583,ABC,2020,Q4
1.83134,ABC,2021,Q1
2.12403,ABC,2021,Q2
1.42635,ABC,2021,Q3
2.12314,ABC,2021,Q4
2.17847,ABC,2022,Q1
2.65825,ABC,2022,Q2
1.94827,ABC,2022,Q3
1.4138,ABC,2022,Q4
0.06381,ABCD,2016,Q4
0.05476,ABCD,2017,Q1
0.12514,ABCD,2017,Q2
0.13941,ABCD,2017,Q3
0.64763,ABCD,2017,Q4
0.05559,ABCD,2018,Q1
0.09402,ABCD,2018,Q2
0.12432,ABCD,2018,Q3
0.76766,ABCL,2020,Q4
0.43262,ABCL,2021,Q1
-0.00857,ABCL,2021,Q2
-0.07663,ABCL,2021,Q3
0.20335,ABCL,2021,Q4
0.60435,ABCL,2022,Q1
-0.02432,ABCL,2022,Q2
0.09331,ABCL,2022,Q3
-4.10274,ABEO,2021,Q2
