"Earnings Per Share, Basic",Ticker,Fiscal Year,Fiscal Period
1.09298,CCF,2022,Q4
,CCFI,2016,Q4
,CCFI,2017,Q1
,CCFI,2017,Q2
,CCFI,2017,Q3
,CCFI,2017,Q4
,CCFI,2018,Q1
,CCFI,2018,Q2
,CCFI,2018,Q3
,CCH,2016,Q4
,CCH,2017,Q1
,CCH,2017,Q2
,CCH,2017,Q3
,CCH,2017,Q4
,CCH,2018,Q1
,CCH,2018,Q2
,CCH,2018,Q3
,CCH,2018,Q4
,CCH,2019,Q1
,CCH,2019,Q2
,CCH,2019,Q3
,CCH,2019,Q4
,CCH,2020,Q1
,CCH,2020,Q2
,CCH,2020,Q3
,CCH,2020,Q4
,CCH,2021,Q1
,CCH,2021,Q2
,CCH,2021,Q3
,CCH,2021,Q4
,CCH,2022,Q1
,CCH,2022,Q2
,CCH,2022,Q3
0.35417,CCI,2016,Q4
0.32979,CCI,2017,Q1
0.30728,CCI,2017,Q2
0.21629,CCI,2017,Q3
0.17167,CCI,2017,Q4
0.21027,CCI,2018,Q1
0.36386,CCI,2018,Q2
0.32771,CCI,2018,Q3
0.44794,CCI,2018,Q4
0.43855,CCI,2019,Q1
0.52289,CCI,2019,Q2
0.58612,CCI,2019,Q3
0.2476,CCI,2019,Q4
0.3774,CCI,2020,Q1
0.41346,CCI,2020,Q2
0.3785,CCI,2020,Q3
1.17593,CCI,2020,Q4
0.13426,CCI,2021,Q1
0.77546,CCI,2021,Q2
0.81019,CCI,2021,Q3
0.81713,CCI,2021,Q4
0.97454,CCI,2022,Q1
0.97229,CCI,2022,Q2
0.96767,CCI,2022,Q3
0.46823,CCK,2016,Q4
0.77256,CCK,2017,Q1
0.94605,CCK,2017,Q2
1.3209,CCK,2017,Q3
-0.66737,CCK,2017,Q4
0.67416,CCK,2018,Q1
0.97305,CCK,2018,Q2
1.24159,CCK,2018,Q3
0.39623,CCK,2018,Q4
0.76981,CCK,2019,Q1
1.02392,CCK,2019,Q2
1.36465,CCK,2019,Q3
0.64993,CCK,2019,Q4
0.65623,CCK,2020,Q1
0.94524,CCK,2020,Q2
1.6042,CCK,2020,Q3
1.13261,CCK,2020,Q4
1.57934,CCK,2021,Q1
0.95808,CCK,2021,Q2
0.79238,CCK,2021,Q3
-7.94502,CCK,2021,Q4
1.71441,CCK,2022,Q1
2.38587,CCK,2022,Q2
1.04959,CCK,2022,Q3
0.83747,CCL,2016,Q4
0.48552,CCL,2017,Q1
0.5221,CCL,2017,Q2
1.83956,CCL,2017,Q3
0.76257,CCL,2017,Q4
0.54533,CCL,2018,Q1
0.78291,CCL,2018,Q2
2.42068,CCL,2018,Q3
0.70529,CCL,2018,Q4
0.48341,CCL,2019,Q1
0.65268,CCL,2019,Q2
2.58636,CCL,2019,Q3
0.61572,CCL,2019,Q4
-1.13889,CCL,2020,Q1
-6.08056,CCL,2020,Q2
-3.67439,CCL,2020,Q3
-2.42111,CCL,2020,Q4
-2.54581,CCL,2021,Q1
-1.84911,CCL,2021,Q2
-2.53393,CCL,2021,Q3
-2.30343,CCL,2021,Q4
-1.66491,CCL,2022,Q1
-1.61126,CCL,2022,Q2
-0.67456,CCL,2022,Q3
0.90432,CCMP,2017,Q1
0.73081,CCMP,2017,Q2
0.79037,CCMP,2017,Q3
1.05007,CCMP,2017,Q4
-0.12173,CCMP,2018,Q1
1.16063,CCMP,2018,Q2
1.37981,CCMP,2018,Q3
1.88101,CCMP,2018,Q4
0.49501,CCMP,2019,Q1
0.93658,CCMP,2019,Q2
0.6495,CCMP,2019,Q3
-0.69595,CCMP,2019,Q4
1.32303,CCMP,2020,Q1
1.12556,CCMP,2020,Q2
1.18622,CCMP,2020,Q3
1.26767,CCMP,2020,Q4
1.08265,CCMP,2021,Q1
-5.12953,CCMP,2021,Q2
1.15355,CCMP,2021,Q3
0.55136,CCMP,2021,Q4
0.93739,CCMP,2022,Q1
1.18151,CCMP,2022,Q2
0.2815,CCO,2016,Q4
-0.08039,CCO,2017,Q1
-0.02514,CCO,2017,Q2
-0.1587,CCO,2017,Q3
-1.50618,CCO,2017,Q4
-0.35111,CCO,2018,Q1
-0.14341,CCO,2018,Q2
-0.17989,CCO,2018,Q3
0.07088,CCO,2018,Q4
-0.45345,CCO,2019,Q1
-0.03018,CCO,2019,Q2
-0.46385,CCO,2019,Q3
0.05844,CCO,2019,Q4
-0.59873,CCO,2020,Q1
-0.29538,CCO,2020,Q2
-0.29242,CCO,2020,Q3
-0.06902,CCO,2020,Q4
-0.71341,CCO,2021,Q1
-0.26742,CCO,2021,Q2
-0.08725,CCO,2021,Q3
0.13521,CCO,2021,Q4
-0.19122,CCO,2022,Q1
-0.13954,CCO,2022,Q2
-0.08368,CCO,2022,Q3
0.09638,CCOI,2017,Q2
0.08126,CCOI,2017,Q3
-0.13819,CCOI,2017,Q4
0.15101,CCOI,2018,Q1
0.14528,CCOI,2018,Q2
0.18184,CCOI,2018,Q3
0.15492,CCOI,2018,Q4
0.20381,CCOI,2019,Q1
0.15692,CCOI,2019,Q2
0.30055,CCOI,2019,Q3
0.16271,CCOI,2019,Q4
0.20209,CCOI,2020,Q1
0.18673,CCOI,2020,Q2
-0.10787,CCOI,2020,Q3
-0.14287,CCOI,2020,Q4
0.40921,CCOI,2021,Q1
-0.05412,CCOI,2021,Q2
0.28773,CCOI,2021,Q3
0.39978,CCOI,2021,Q4
0.02441,CCOI,2022,Q1
0.2391,CCOI,2022,Q2
-0.17132,CCOI,2022,Q3
0.72516,CCS,2016,Q4
0.40902,CCS,2017,Q1
0.67056,CCS,2017,Q2
0.37158,CCS,2017,Q3
0.61392,CCS,2017,Q4
0.67825,CCS,2018,Q1
1.10999,CCS,2018,Q2
0.56382,CCS,2018,Q3
0.85372,CCS,2018,Q4
0.56673,CCS,2019,Q1
0.51067,CCS,2019,Q2
0.8834,CCS,2019,Q3
1.6464,CCS,2019,Q4
0.78674,CCS,2020,Q1
1.15326,CCS,2020,Q2
1.49212,CCS,2020,Q3
2.75306,CCS,2020,Q4
3.02861,CCS,2021,Q1
3.513,CCS,2021,Q2
3.37597,CCS,2021,Q3
4.8863,CCS,2021,Q4
4.22074,CCS,2022,Q1
4.83163,CCS,2022,Q2
4.48721,CCS,2022,Q3
-0.16001,CCXI,2016,Q4
-0.12462,CCXI,2017,Q1
-0.19161,CCXI,2017,Q2
-0.13497,CCXI,2017,Q3
0.8141,CCXI,2017,Q4
-0.19276,CCXI,2018,Q1
-0.13875,CCXI,2018,Q2
-0.21632,CCXI,2018,Q3
-0.21348,CCXI,2018,Q4
-0.22806,CCXI,2019,Q1
-0.26095,CCXI,2019,Q2
-0.22098,CCXI,2019,Q3
-0.26348,CCXI,2019,Q4
-353.81352,CCXI,2020,Q1
0.16277,CCXI,2020,Q2
-0.34909,CCXI,2020,Q3
-0.43141,CCXI,2020,Q4
-0.42683,CCXI,2021,Q1
-0.56328,CCXI,2021,Q2
-0.31975,CCXI,2021,Q3
-0.57663,CCXI,2021,Q4
-0.55067,CCXI,2022,Q1
-0.44432,CCXI,2022,Q2
0.88088,CDAY,2017,Q4
-0.03215,CDAY,2018,Q1
-0.5767,CDAY,2018,Q2
0.03181,CDAY,2018,Q3
-0.00144,CDAY,2018,Q4
0.07991,CDAY,2019,Q1
0.04463,CDAY,2019,Q2
0.43906,CDAY,2019,Q3
-0.01041,CDAY,2019,Q4
0.05946,CDAY,2020,Q1
0.03778,CDAY,2020,Q2
-0.00544,CDAY,2020,Q3
-0.11556,CDAY,2020,Q4
-0.12911,CDAY,2021,Q1
-0.17348,CDAY,2021,Q2
-0.14019,CDAY,2021,Q3
-0.0599,CDAY,2021,Q4
-0.1809,CDAY,2022,Q1
-0.13072,CDAY,2022,Q2
-0.13709,CDAY,2022,Q3
-0.04771,CDE,2016,Q4
0.10432,CDE,2017,Q1
-0.06112,CDE,2017,Q2
-0.09288,CDE,2017,Q3
0.04167,CDE,2017,Q4
0.00673,CDE,2018,Q1
0.01582,CDE,2018,Q2
-0.28634,CDE,2018,Q3
0.00234,CDE,2018,Q4
-0.09486,CDE,2019,Q1
-0.17693,CDE,2019,Q2
-0.06315,CDE,2019,Q3
-1.13395,CDE,2019,Q4
-0.04953,CDE,2020,Q1
-0.00502,CDE,2020,Q2
0.11144,CDE,2020,Q3
0.04929,CDE,2020,Q4
0.00853,CDE,2021,Q1
0.13317,CDE,2021,Q2
-0.22113,CDE,2021,Q3
-0.03902,CDE,2021,Q4
0.03016,CDE,2022,Q1
-0.30402,CDE,2022,Q2
-0.2066,CDE,2022,Q3
-0.07799,CDI,2016,Q4
-0.36603,CDI,2017,Q1
-0.4211,CDI,2017,Q2
0.55615,CDK,2017,Q2
0.53237,CDK,2017,Q3
0.41135,CDK,2017,Q4
0.5803,CDK,2018,Q1
0.75968,CDK,2018,Q2
0.71397,CDK,2018,Q3
0.75532,CDK,2018,Q4
0.69676,CDK,2019,Q1
0.70189,CDK,2019,Q2
0.80484,CDK,2019,Q3
-1.27549,CDK,2019,Q4
0.67545,CDK,2020,Q1
0.18339,CDK,2020,Q2
0.47407,CDK,2020,Q3
0.37408,CDK,2020,Q4
0.45768,CDK,2021,Q1
0.5603,CDK,2021,Q2
7.05078,CDK,2021,Q3
0.40525,CDK,2021,Q4
0.59158,CDK,2022,Q1
0.52558,CDK,2022,Q2
-0.23766,CDMO,2017,Q3
-0.15137,CDMO,2017,Q4
-0.05912,CDMO,2018,Q1
-0.3039,CDMO,2018,Q2
-0.26721,CDMO,2018,Q3
0.03646,CDMO,2018,Q4
-0.06102,CDMO,2019,Q1
-0.04521,CDMO,2019,Q2
-0.03959,CDMO,2019,Q3
-0.0133,CDMO,2019,Q4
-0.08201,CDMO,2020,Q1
-0.02686,CDMO,2020,Q2
-0.05647,CDMO,2020,Q3
-0.10358,CDMO,2020,Q4
0.05817,CDMO,2021,Q1
0.02123,CDMO,2021,Q2
0.01913,CDMO,2021,Q3
-0.04009,CDMO,2021,Q4
0.10311,CDMO,2022,Q1
0.05761,CDMO,2022,Q2
0.0366,CDMO,2022,Q3
1.88013,CDMO,2022,Q4
0.02526,CDMO,2023,Q1
-0.01858,CDMO,2023,Q2
-0.72502,CDNA,2016,Q4
-0.26059,CDNA,2017,Q1
-0.18531,CDNA,2017,Q2
-0.63338,CDNA,2017,Q3
-1.12921,CDNA,2017,Q4
-0.30285,CDNA,2018,Q1
-0.39556,CDNA,2018,Q2
-0.53749,CDNA,2018,Q3
-0.09332,CDNA,2018,Q4
-0.18098,CDNA,2019,Q1
-0.18623,CDNA,2019,Q2
-0.04276,CDNA,2019,Q3
-0.1125,CDNA,2019,Q4
-0.13598,CDNA,2020,Q1
-0.14669,CDNA,2020,Q2
-0.05745,CDNA,2020,Q3
-0.07123,CDNA,2020,Q4
-0.01342,CDNA,2021,Q1
-0.03765,CDNA,2021,Q2
-0.22864,CDNA,2021,Q3
-0.29568,CDNA,2021,Q4
-0.37174,CDNA,2022,Q1
-0.40746,CDNA,2022,Q2
-0.31668,CDNA,2022,Q3
0.14116,CDNS,2016,Q4
0.25265,CDNS,2017,Q1
0.25425,CDNS,2017,Q2
0.29711,CDNS,2017,Q3
-0.05287,CDNS,2017,Q4
0.26622,CDNS,2018,Q1
0.2747,CDNS,2018,Q2
0.36285,CDNS,2018,Q3
0.3594,CDNS,2018,Q4
0.44149,CDNS,2019,Q1
0.39245,CDNS,2019,Q2
0.37135,CDNS,2019,Q3
2.41388,CDNS,2019,Q4
0.45338,CDNS,2020,Q1
0.48003,CDNS,2020,Q2
0.59006,CDNS,2020,Q3
0.63405,CDNS,2020,Q4
0.68305,CDNS,2021,Q1
0.56893,CDNS,2021,Q2
0.64535,CDNS,2021,Q3
0.64635,CDNS,2021,Q4
0.86182,CDNS,2022,Q1
0.68842,CDNS,2022,Q2
0.68714,CDNS,2022,Q3
-0.0424,CDR,2016,Q4
0.6623,CDR,2017,Q1
-0.65406,CDR,2017,Q2
-0.39631,CDR,2017,Q3
0.19885,CDR,2017,Q4
-1.73637,CDR,2018,Q1
0.53342,CDR,2018,Q2
0.25821,CDR,2018,Q3
0.14377,CDR,2018,Q4
0.01484,CDR,2019,Q1
0.20691,CDR,2019,Q2
0.00706,CDR,2019,Q3
-0.97169,CDR,2019,Q4
-0.37832,CDR,2020,Q1
-0.67253,CDR,2020,Q2
-0.10876,CDR,2020,Q3
0.25035,CDR,2020,Q4
-0.1199,CDR,2021,Q1
3.67978,CDR,2021,Q2
-6.2786,CDR,2021,Q3
-1.4668,CDR,2021,Q4
-0.2819,CDR,2022,Q1
-3.40713,CDR,2022,Q2
6.51874,CDR,2022,Q3
-0.15957,CDRE,2021,Q3
0.12895,CDRE,2021,Q4
-0.2951,CDRE,2022,Q1
0.12585,CDRE,2022,Q2
0.1325,CDRE,2022,Q3
0.6446,CDW,2016,Q4
0.36512,CDW,2017,Q1
0.90064,CDW,2017,Q2
0.8394,CDW,2017,Q3
1.28084,CDW,2017,Q4
0.83443,CDW,2018,Q1
1.14116,CDW,2018,Q2
1.21736,CDW,2018,Q3
1.06985,CDW,2018,Q4
1.04014,CDW,2019,Q1
1.35027,CDW,2019,Q2
1.39585,CDW,2019,Q3
1.29518,CDW,2019,Q4
1.17659,CDW,2020,Q1
1.32888,CDW,2020,Q2
1.35294,CDW,2020,Q3
1.67111,CDW,2020,Q4
1.64848,CDW,2021,Q1
1.94259,CDW,2021,Q2
1.91111,CDW,2021,Q3
1.64728,CDW,2021,Q4
1.84649,CDW,2022,Q1
2.06583,CDW,2022,Q2
2.20103,CDW,2022,Q3
-0.12828,CDXS,2016,Q4
-0.18085,CDXS,2017,Q1
-0.13287,CDXS,2017,Q2
-0.21221,CDXS,2017,Q3
0.02012,CDXS,2017,Q4
-0.09701,CDXS,2018,Q1
-0.07072,CDXS,2018,Q2
-0.03707,CDXS,2018,Q3
-0.00854,CDXS,2018,Q4
-0.09481,CDXS,2019,Q1
-0.1184,CDXS,2019,Q2
0.00588,CDXS,2019,Q3
-0.01083,CDXS,2019,Q4
-0.12994,CDXS,2020,Q1
-0.10773,CDXS,2020,Q2
-0.10332,CDXS,2020,Q3
-0.06481,CDXS,2020,Q4
-0.14105,CDXS,2021,Q1
-0.06634,CDXS,2021,Q2
0.03482,CDXS,2021,Q3
-0.15639,CDXS,2021,Q4
-0.12872,CDXS,2022,Q1
-0.04044,CDXS,2022,Q2
-0.15304,CDXS,2022,Q3
-0.33757,CDZI,2016,Q4
-0.32706,CDZI,2017,Q1
-0.60437,CDZI,2017,Q2
-0.26208,CDZI,2017,Q3
-0.3113,CDZI,2017,Q4
-0.25876,CDZI,2018,Q1
-0.2525,CDZI,2018,Q2
-0.25508,CDZI,2018,Q3
-0.32689,CDZI,2018,Q4
-0.28665,CDZI,2019,Q1
-0.28227,CDZI,2019,Q2
-0.27588,CDZI,2019,Q3
-0.26817,CDZI,2019,Q4
-0.65934,CDZI,2020,Q1
-0.13774,CDZI,2020,Q2
-128.18099,CDZI,2020,Q3
-0.224,CDZI,2020,Q4
-154.51001,CDZI,2021,Q1
-300.54588,CDZI,2021,Q2
-221.70768,CDZI,2021,Q3
-0.0678,CDZI,2021,Q4
-0.17147,CDZI,2022,Q1
-0.16173,CDZI,2022,Q2
-0.18664,CDZI,2022,Q3
1.1279,CE,2016,Q4
1.30116,CE,2017,Q1
1.66643,CE,2017,Q2
1.65472,CE,2017,Q3
1.4952,CE,2017,Q4
2.67076,CE,2018,Q1
2.53707,CE,2018,Q2
2.98098,CE,2018,Q3
0.7546,CE,2018,Q4
2.64226,CE,2019,Q1
1.65233,CE,2019,Q2
2.16046,CE,2019,Q3
0.35767,CE,2019,Q4
1.82807,CE,2020,Q1
0.90418,CE,2020,Q2
1.75364,CE,2020,Q3
12.56505,CE,2020,Q4
2.83672,CE,2021,Q1
4.73961,CE,2021,Q2
4.51376,CE,2021,Q3
4.95766,CE,2021,Q4
4.62247,CE,2022,Q1
4.00369,CE,2022,Q2
1.76199,CE,2022,Q3
0.32416,CEG,2022,Q1
-0.33945,CEG,2022,Q2
-0.57492,CEG,2022,Q3
-0.25747,CELC,2017,Q3
-0.17053,CELC,2017,Q4
-0.19492,CELC,2018,Q1
-0.17966,CELC,2018,Q2
-0.18473,CELC,2018,Q3
-0.17961,CELC,2018,Q4
-0.181,CELC,2019,Q1
-0.16842,CELC,2019,Q2
-0.19377,CELC,2019,Q3
-0.17646,CELC,2019,Q4
-0.21913,CELC,2020,Q1
-0.21461,CELC,2020,Q2
-0.24084,CELC,2020,Q3
-0.24815,CELC,2020,Q4
-0.25214,CELC,2021,Q1
-1.112,CELC,2021,Q2
-0.40422,CELC,2021,Q3
-2.71027,CELC,2021,Q4
-0.53212,CELC,2022,Q1
-0.66712,CELC,2022,Q2
-0.72925,CELC,2022,Q3
0.55214,CELG,2016,Q4
1.20796,CELG,2017,Q1
1.35956,CELG,2017,Q2
1.29958,CELG,2017,Q3
-0.10475,CELG,2017,Q4
1.13056,CELG,2018,Q1
1.45929,CELG,2018,Q2
1.54131,CELG,2018,Q3
1.53549,CELG,2018,Q4
2.1996,CELG,2019,Q1
2.22269,CELG,2019,Q2
2.3837,CELG,2019,Q3
-0.01317,CELH,2016,Q4
-0.04718,CELH,2017,Q1
0.00849,CELH,2017,Q2
-0.03768,CELH,2017,Q3
-0.11596,CELH,2017,Q4
-0.06237,CELH,2018,Q1
-0.06722,CELH,2018,Q2
-0.08167,CELH,2018,Q3
-0.01746,CELH,2018,Q4
0.20395,CELH,2019,Q1
-0.02568,CELH,2019,Q2
0.01614,CELH,2019,Q3
-0.01701,CELH,2019,Q4
0.00788,CELH,2020,Q1
0.02239,CELH,2020,Q2
0.06633,CELH,2020,Q3
0.02372,CELH,2020,Q4
0.00807,CELH,2021,Q1
0.05461,CELH,2021,Q2
0.0368,CELH,2021,Q3
-0.04496,CELH,2021,Q4
0.08952,CELH,2022,Q1
0.12276,CELH,2022,Q2
-2.46045,CELH,2022,Q3
-0.52331,CEMI,2021,Q4
-0.29253,CEMI,2022,Q1
0.15377,CENT,2017,Q1
0.69259,CENT,2017,Q2
0.63849,CENT,2017,Q3
0.08406,CENT,2017,Q4
0.51739,CENT,2018,Q1
0.88919,CENT,2018,Q2
0.81247,CENT,2018,Q3
0.19524,CENT,2018,Q4
0.03169,CENT,2019,Q1
0.74306,CENT,2019,Q2
0.80811,CENT,2019,Q3
0.04356,CENT,2019,Q4
-0.08067,CENT,2020,Q1
0.78675,CENT,2020,Q2
1.28002,CENT,2020,Q3
0.2552,CENT,2020,Q4
0.10446,CENT,2021,Q1
1.35411,CENT,2021,Q2
1.41597,CENT,2021,Q3
-0.05571,CENT,2021,Q4
0.16691,CENT,2022,Q1
1.29156,CENT,2022,Q2
1.41668,CENT,2022,Q3
-0.03691,CENT,2022,Q4
0.18343,CENX,2022,Q1
0.38895,CENX,2022,Q2
0.45564,CENX,2022,Q3
-0.04746,CEQP,2022,Q1
0.44684,CERN,2016,Q4
0.52493,CERN,2017,Q1
0.54276,CERN,2017,Q2
0.53442,CERN,2017,Q3
1.0126,CERN,2017,Q4
0.48136,CERN,2018,Q1
0.51288,CERN,2018,Q2
0.5143,CERN,2018,Q3
0.39989,CERN,2018,Q4
0.51212,CERN,2019,Q1
0.39629,CERN,2019,Q2
0.25939,CERN,2019,Q3
0.49454,CERN,2019,Q4
0.47523,CERN,2020,Q1
0.44201,CERN,2020,Q2
1.1665,CERN,2020,Q3
0.46183,CERN,2020,Q4
0.56526,CERN,2021,Q1
0.10733,CERN,2021,Q2
0.58496,CERN,2021,Q3
0.61731,CERN,2021,Q4
0.70259,CERN,2022,Q1
,CERS,2016,Q4
,CERS,2017,Q1
,CERS,2017,Q2
,CERS,2017,Q3
,CERS,2017,Q4
,CERS,2018,Q1
,CERS,2018,Q2
,CERS,2018,Q3
,CERS,2018,Q4
,CERS,2019,Q1
,CERS,2019,Q2
,CERS,2019,Q3
,CERS,2019,Q4
,CERS,2020,Q1
,CERS,2020,Q2
,CERS,2020,Q3
,CERS,2020,Q4
,CERS,2021,Q1
,CERS,2021,Q2
,CERS,2021,Q3
,CERS,2021,Q4
,CERS,2022,Q1
,CERS,2022,Q2
,CERS,2022,Q3
0.17937,CETV,2017,Q2
-0.04958,CETV,2017,Q3
0.08487,CETV,2017,Q4
0.02848,CETV,2018,Q1
0.18733,CETV,2018,Q2
0.25955,CETV,2018,Q3
0.14969,CETV,2018,Q4
0.04424,CETV,2019,Q1
0.16715,CETV,2019,Q2
0.0519,CETV,2019,Q3
0.18317,CETV,2019,Q4
1.73352,CETX,2016,Q4
1.15641,CETX,2017,Q1
0.32942,CETX,2017,Q2
0.67747,CETX,2017,Q3
0.40585,CETX,2017,Q4
0.55841,CETX,2018,Q1
0.31966,CETX,2018,Q2
-2.41268,CETX,2018,Q3
-5.0977,CETX,2018,Q4
-1.91245,CETX,2019,Q1
-1.11908,CETX,2019,Q2
-1.02923,CETX,2019,Q3
-5.79655,CETX,2019,Q4
-0.34107,CETX,2020,Q1
-0.44573,CETX,2020,Q2
-0.40864,CETX,2020,Q3
-0.25709,CETX,2020,Q4
-0.09486,CETX,2021,Q1
0.13231,CETX,2021,Q2
0.06034,CETX,2021,Q3
-0.51666,CETX,2021,Q4
-0.23932,CETX,2022,Q1
-0.25232,CETX,2022,Q2
-0.02742,CETX,2022,Q3
0.24945,CEVA,2016,Q4
0.19698,CEVA,2017,Q1
0.1813,CEVA,2017,Q2
0.26871,CEVA,2017,Q3
0.14529,CEVA,2017,Q4
-0.10023,CEVA,2018,Q1
-0.0944,CEVA,2018,Q2
0.11562,CEVA,2018,Q3
0.10534,CEVA,2018,Q4
-0.10425,CEVA,2019,Q1
-0.06896,CEVA,2019,Q2
0.0353,CEVA,2019,Q3
0.13959,CEVA,2019,Q4
-0.05385,CEVA,2020,Q1
-0.04953,CEVA,2020,Q2
-0.03334,CEVA,2020,Q3
0.02879,CEVA,2020,Q4
-0.16002,CEVA,2021,Q1
0.01389,CEVA,2021,Q2
-0.00736,CEVA,2021,Q3
0.16878,CEVA,2021,Q4
-0.07381,CEVA,2022,Q1
-0.04887,CEVA,2022,Q2
-0.96092,CEVA,2022,Q3
-1.37457,CF,2016,Q4
-0.09867,CF,2017,Q1
0.01285,CF,2017,Q2
-0.37307,CF,2017,Q3
1.98548,CF,2017,Q4
0.26935,CF,2018,Q1
0.63248,CF,2018,Q2
0.12848,CF,2018,Q3
0.21397,CF,2018,Q4
0.40286,CF,2019,Q1
1.28054,CF,2019,Q2
0.29653,CF,2019,Q3
0.25322,CF,2019,Q4
0.31481,CF,2020,Q1
0.88619,CF,2020,Q2
-0.13048,CF,2020,Q3
0.40541,CF,2020,Q4
0.70265,CF,2021,Q1
1.14472,CF,2021,Q2
-0.85927,CF,2021,Q3
3.29902,CF,2021,Q4
4.12617,CF,2022,Q1
5.59558,CF,2022,Q2
2.18781,CF,2022,Q3
-0.3231,CFLT,2021,Q2
-0.35057,CFLT,2021,Q3
-0.41936,CFLT,2021,Q4
-0.41404,CFLT,2022,Q1
-0.42272,CFLT,2022,Q2
-0.41113,CFLT,2022,Q3
-9.34772,CFMS,2016,Q4
-10.00589,CFMS,2017,Q1
-6.99765,CFMS,2017,Q2
-7.173,CFMS,2017,Q3
-6.76248,CFMS,2017,Q4
-5.48073,CFMS,2018,Q1
-5.88029,CFMS,2018,Q2
-3.08715,CFMS,2018,Q3
-4.0574,CFMS,2018,Q4
-3.01555,CFMS,2019,Q1
-2.66948,CFMS,2019,Q2
-3.3585,CFMS,2019,Q3
-2.07254,CFMS,2019,Q4
-3.47569,CFMS,2020,Q1
-0.77923,CFMS,2020,Q2
-2.09943,CFMS,2020,Q3
-2.13889,CFMS,2020,Q4
-2.19078,CFMS,2021,Q1
7.24333,CFMS,2021,Q2
-1.81743,CFMS,2021,Q3
-2.23813,CFMS,2021,Q4
-2.24171,CFMS,2022,Q1
-2.15257,CFMS,2022,Q2
-2.09722,CFMS,2022,Q3
0.01511,CFRX,2016,Q4
-0.1614,CFRX,2017,Q1
-0.07213,CFRX,2017,Q2
-0.04005,CFRX,2017,Q3
-0.12096,CFRX,2017,Q4
-0.48577,CFRX,2018,Q1
-0.51194,CFRX,2018,Q2
-0.1113,CFRX,2018,Q3
0.15091,CFRX,2018,Q4
0.29459,CFRX,2019,Q1
-0.22035,CFRX,2019,Q2
-0.13625,CFRX,2019,Q3
-0.26328,CFRX,2019,Q4
-0.19268,CFRX,2020,Q1
-0.4479,CFRX,2020,Q2
0.08757,CFRX,2020,Q3
-0.16283,CFRX,2020,Q4
-0.13208,CFRX,2021,Q1
-0.13719,CFRX,2021,Q2
-0.13454,CFRX,2021,Q3
-0.11184,CFRX,2021,Q4
-0.51247,CFRX,2022,Q1
-0.4599,CFRX,2022,Q2
-0.43391,CFRX,2022,Q3
0.30736,CFX,2016,Q4
0.31313,CFX,2017,Q1
0.43334,CFX,2017,Q2
0.37209,CFX,2017,Q3
0.10774,CFX,2017,Q4
0.19857,CFX,2018,Q1
0.31354,CFX,2018,Q2
0.26616,CFX,2018,Q3
0.39124,CFX,2018,Q4
-0.38906,CFX,2019,Q1
-3.44342,CFX,2019,Q2
0.07682,CFX,2019,Q3
-0.1235,CFX,2019,Q4
0.0328,CFX,2020,Q1
-0.06197,CFX,2020,Q2
0.09797,CFX,2020,Q3
0.24265,CFX,2020,Q4
0.13663,CFX,2021,Q1
0.20517,CFX,2021,Q2
0.17138,CFX,2021,Q3
-0.01037,CFX,2021,Q4
0.09471,CFX,2022,Q1
0.48308,CFX,2022,Q2
-0.4187,CFX,2022,Q3
-0.02452,CG,2016,Q4
0.22872,CG,2017,Q1
0.15872,CG,2017,Q2
0.1229,CG,2017,Q3
0.16231,CG,2017,Q4
0.1094,CG,2018,Q1
0.19124,CG,2018,Q2
0.04822,CG,2018,Q3
-0.02783,CG,2018,Q4
0.39378,CG,2019,Q1
0.42464,CG,2019,Q2
0.25407,CG,2019,Q3
-0.02287,CG,2019,Q4
-1.68644,CG,2020,Q1
0.40204,CG,2020,Q2
0.81428,CG,2020,Q3
1.42961,CG,2020,Q4
2.39546,CG,2021,Q1
2.54895,CG,2021,Q2
1.46819,CG,2021,Q3
1.78454,CG,2021,Q4
1.57511,CG,2022,Q1
0.67623,CG,2022,Q2
0.77378,CG,2022,Q3
1.75523,CGA,2017,Q2
2.55215,CGA,2017,Q3
1.27822,CGA,2017,Q4
1.60173,CGA,2018,Q1
2.43704,CGA,2018,Q2
2.37505,CGA,2018,Q3
-8.40695,CGA,2018,Q4
2.78132,CGA,2019,Q1
0.74834,CGA,2019,Q2
1.59994,CGA,2019,Q3
-1.33935,CGA,2019,Q4
-1.62411,CGA,2020,Q1
-4.9463,CGA,2020,Q2
-8.1865,CGA,2020,Q3
-8.19074,CGA,2020,Q4
-4.87438,CGA,2021,Q1
-6.30486,CGA,2021,Q2
-2.33299,CGA,2021,Q3
-4.06967,CGA,2021,Q4
-2.20178,CGA,2022,Q1
-5.03658,CGA,2022,Q2
-4.48639,CGA,2022,Q3
-1.41476,CGA,2022,Q4
-0.05649,CGA,2023,Q1
-0.62147,CGEM,2020,Q4
-0.00153,CGEM,2021,Q1
-0.34281,CGEM,2021,Q2
-0.38039,CGEM,2021,Q3
-0.71285,CGEM,2021,Q4
-0.26524,CGEM,2022,Q1
3.83456,CGEM,2022,Q2
-0.54382,CGEM,2022,Q3
0.22281,CGNX,2016,Q4
0.26338,CGNX,2017,Q1
0.32604,CGNX,2017,Q2
0.58943,CGNX,2017,Q3
-0.15459,CGNX,2017,Q4
0.21478,CGNX,2018,Q1
0.32602,CGNX,2018,Q2
0.46714,CGNX,2018,Q3
0.26484,CGNX,2018,Q4
0.19348,CGNX,2019,Q1
0.28455,CGNX,2019,Q2
